Column1,وحدات معتمدة,الرقم,رمز المادة,أسم المادة,اجتاز المقرر,سلسلة المتطلبات,سلسلة المتطلبات2,اجتاز سلسلة المتطلبات,المستوى,طول سلسلة المتطلبات,عدد المواد المتطلبة,هل لها متطلب المستوى التالي,توفر المقرر,1سلسلة المتطلبات,متطلب لمشروع التخرج
1,3,101,CHEM,مقدمة في الكيمياء,FALSE,,,TRUE,1,0,0,FALSE,الفصل الأول,,FALSE
2,4,101,ENG,مهارات اللغة الإنجليزية (1),FALSE,,مهارات اللغة الإنجليزية (2),TRUE,1,3,1,FALSE,الفصل الأول,,FALSE
3,2,111,GS,مهارات اللغة العربية (1),FALSE,,مهارات اللغة العربية (2),TRUE,1,1,1,FALSE,الفصل الأول,,FALSE
0,3,101,MATH,مقدمة في الرياضيات,FALSE,,تفـاضل وتكامل ( 1 ),TRUE,2,2,1,FALSE,الفصل الثاني,,FALSE
4,2,101,GS,دراسات إسلامية: العقيدة والعبادة,FALSE,,,TRUE,2,0,1,FALSE,الفصل الثاني,,FALSE
6,3,101,BIOL,مقدمة في الأحياء,FALSE,,,TRUE,2,0,0,FALSE,الفصل الثاني,,FALSE
8,2,151,GS,مهارات الحياة الجامعية,FALSE,,,TRUE,2,0,0,FALSE,الفصل الثاني,,FALSE
5,3,101,PHYS,مقدمة في الفيزياء,FALSE,,فيزيـــــــاء (1),TRUE,3,1,1,TRUE,الفصل الثالث,,FALSE
7,2,152,GS,مهارات الحاسب الآلي,FALSE,,,TRUE,3,0,0,FALSE,الفصل الثالث,,FALSE
9,4,102,ENG,مهارات اللغة الإنجليزية (2),FALSE,مهارات اللغة الإنجليزية (1),مهارات الكتابة,TRUE,3,3,1,TRUE,الفصل الثالث,مهارات اللغة الإنجليزية (1),FALSE
10,3,103,CS,تراكيب متقطعة,FALSE,,"تصميم المنطق الرقمي , نظرية الحوسبة",TRUE,4,4,2,FALSE,كلهم,,FALSE
12,3,103,ENGL,مهارات الكتابة,FALSE,"مهارات اللغة الإنجليزية (1) , مهارات اللغة الإنجليزية (2)",مهارات الاتصال,TRUE,4,3,1,TRUE,الفصل الأول,"مهارات اللغة الإنجليزية (1) , مهارات اللغة الإنجليزية (2)",FALSE
13,3,203,MATH,تفـاضل وتكامل ( 1 ),FALSE,مقدمة في الرياضيات,تفاضل وتكامل (2),TRUE,4,2,1,FALSE,الفصل الأول,مقدمة في الرياضيات,FALSE
20,2,102,GS,دراسات إسلامية: ملامح في السيرة النبوية,FALSE,,,TRUE,4,0,0,FALSE,الفصل الأول,,FALSE
11,4,111,CS,برمجة (1),FALSE,,"برمجة (2) , مقدمة في هندسة البرمجيات",TRUE,5,4,2,TRUE,كلهم,,TRUE
14,4,103,PHYS,فيزيـــــــاء (1),FALSE,مقدمة في الفيزياء,فيزياء (2),TRUE,5,1,1,TRUE,الفصل الثاني,مقدمة في الفيزياء,FALSE
