Column1,"رمز المادة	",الرقم,سلسلة المتطلبات,اسـم المقرّر,1سلسلة المتطلبات
0,CS,403,"تراكيب متقطعة,نظرية الحوسبة",بناء المترجمات,"تراكيب متقطعة,نظرية الحوسبة"
1,CS,405,"برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,تراكيب متقطعة,نظرية الحوسبة",تحليل الخوارزميات,"برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,تراكيب متقطعة,نظرية الحوسبة"
2,CS,431,"برمجة (1),برمجة (2)",تطوير تطبيقات الحوسبة المتنقلة,"برمجة (1),برمجة (2)"
3,CS,435,"برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,الإحتمالات والإحصاء للمهندسين",علم التشفير,"برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,الإحتمالات والإحصاء للمهندسين"
4,CS,461,"برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,النظم الذكية",الرؤية بالحاسب,"برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,النظم الذكية"
5,CS,463,"برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,النظم الذكية",معالجة اللغات الطبيعية,"برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,النظم الذكية"
6,CS,464,"برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,النظم الذكية",النظم متعددة الوكلاء,"برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,النظم الذكية"
7,CS,465,"مقدمة في الأحياء,برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,النظم الذكية",مقدمة في تقنية المعلومات الحيوية,"مقدمة في الأحياء,برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,النظم الذكية"
8,CS,471,"برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,نظم قواعد البيانات",استرجاع المعلومات,"برمجة (1),برمجة (2),الخوارزميات وتراكيب البيانات,نظم قواعد البيانات"
9,CS,481,"برمجة (1),مقدمة في هندسة البرمجيات",هندسة الويب,"برمجة (1),مقدمة في هندسة البرمجيات"
10,CS,482,"برمجة (1),مقدمة في هندسة البرمجيات",ادارة مشاريع البرمجيات,"برمجة (1),مقدمة في هندسة البرمجيات"
11,CS,483,"برمجة (1),مقدمة في هندسة البرمجيات",تفاعل الانسان مع الحاسب,"برمجة (1),مقدمة في هندسة البرمجيات"
12,CS,493,null,موضوعات مختارة,null
13,CS,483,null,مواضيع خاصه,null
14,CS,490,110 Cr. Hr.,التدريب الميداني,110 Cr. Hr.
